"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"ubntUniFi",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi",".1.3.6.1.4.1.41112.1.6",,,"","UBNT-UniFi-MIB",""
"unifiApWireless",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless",".1.3.6.1.4.1.41112.1.6.1",,,"","UBNT-UniFi-MIB",""
"unifiRadioTable",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable",".1.3.6.1.4.1.41112.1.6.1.1","SEQUENCE OF UbntRadioEntry","not-accessible","","UBNT-UniFi-MIB",""
"unifiRadioEntry",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry",".1.3.6.1.4.1.41112.1.6.1.1.1","UbntRadioEntry","not-accessible","unifiRadioIndex","UBNT-UniFi-MIB","Wireless interface"
"unifiRadioIndex",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioIndex",".1.3.6.1.4.1.41112.1.6.1.1.1.1","Integer32","not-accessible","","UBNT-UniFi-MIB",""
"unifiRadioName",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioName",".1.3.6.1.4.1.41112.1.6.1.1.1.2","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
"unifiRadioRadio",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioRadio",".1.3.6.1.4.1.41112.1.6.1.1.1.3","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
"unifiRadioRxPackets",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioRxPackets",".1.3.6.1.4.1.41112.1.6.1.1.1.4","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiRadioTxPackets",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioTxPackets",".1.3.6.1.4.1.41112.1.6.1.1.1.5","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiRadioCuTotal",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioCuTotal",".1.3.6.1.4.1.41112.1.6.1.1.1.6","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiRadioCuSelfRx",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioCuSelfRx",".1.3.6.1.4.1.41112.1.6.1.1.1.7","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiRadioCuSelfTx",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioCuSelfTx",".1.3.6.1.4.1.41112.1.6.1.1.1.8","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiRadioOtherBss",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiRadioTable.unifiRadioEntry.unifiRadioOtherBss",".1.3.6.1.4.1.41112.1.6.1.1.1.9","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapTable",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable",".1.3.6.1.4.1.41112.1.6.1.2","SEQUENCE OF UbntVapEntry","not-accessible","","UBNT-UniFi-MIB",""
"unifiVapEntry",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry",".1.3.6.1.4.1.41112.1.6.1.2.1","UbntVapEntry","not-accessible","unifiVapIndex","UBNT-UniFi-MIB","BSS"
"unifiVapIndex",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapIndex",".1.3.6.1.4.1.41112.1.6.1.2.1.1","Integer32","not-accessible","","UBNT-UniFi-MIB",""
"unifiVapBssId",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapBssId",".1.3.6.1.4.1.41112.1.6.1.2.1.2","OCTET STRING","read-only","","UBNT-UniFi-MIB",""
"unifiVapCcq",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapCcq",".1.3.6.1.4.1.41112.1.6.1.2.1.3","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapChannel",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapChannel",".1.3.6.1.4.1.41112.1.6.1.2.1.4","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapExtChannel",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapExtChannel",".1.3.6.1.4.1.41112.1.6.1.2.1.5","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapEssId",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapEssId",".1.3.6.1.4.1.41112.1.6.1.2.1.6","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
"unifiVapName",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapName",".1.3.6.1.4.1.41112.1.6.1.2.1.7","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
